species,scientificName,occurrenceStatus,decimalLatitude,decimalLongitude,eventDate,year
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,53.721123,9.90613,45834,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,47.790947,12.109449,45832,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,48.934879,8.270391,45831,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,48.05661,8.438536,45832,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,54.040413,10.037339,45832,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.914318,8.446677,45841,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.515152,10.809707,45840,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.432121,7.252462,45840,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.425869,7.035163,45833,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.232746,6.926904,45831,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.215023,11.671804,45840,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,48.093548,3.452335,45829.98052,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.861893,44.12998,45831.52569,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,13.093632,77.578395,45139.93514,2023
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,24.815009,-107.35928,45826.35972,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,24.815079,-107.359353,45826.35972,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-23.229666,16.352956,45783.39167,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.608238,12.398028,45825,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,48.266174,11.776275,45822,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,53.477207,9.717087,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,53.195026,8.203055,45825,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,48.204422,11.419203,45827,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,53.385384,9.997114,45827,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.436531,9.905486,45825,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.548061,7.364478,45825,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,52.861191,8.5809,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,48.345325,10.932383,45825,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.858753,6.335789,45828,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.774609,6.068696,45827,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.298,11.378304,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.898624,8.111065,45828,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,52.777977,13.61318,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.224674,7.185039,45829,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,52.904221,8.567763,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.317688,11.46167,45825,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.827389,12.372093,45829,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,47.805466,11.645801,45829,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,52.904224,8.567759,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,52.040337,8.682878,45827,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.416157,11.874202,45825,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.889183,10.453806,45827,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.476875,8.751421,45825,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,48.756874,8.347812,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,53.493141,10.255164,45827,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.522354,6.898409,45830,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,48.206066,8.709024,45827,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.45219,7.020285,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.226665,14.479477,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.36684,7.713535,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.70015,8.364658,45825,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,52.882595,8.586216,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.276829,10.262749,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.963593,10.113209,45824,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.642529,8.729375,45827,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.301195,57.193066,45824.75815,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,38.721523,-9.453862,45821.65105,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,24.809045,-107.394012,45818.90083,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,40.71417,-74.00639,1900-01-01/1970-01-01,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,30.300135,-97.77139,1900-01-01/1970-01-01,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,30.72714,-84.139619,26811,1973
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,29.760427,-95.369803,25250,1969
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,30.332184,-81.655651,26207,1971
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,27.446706,-80.325606,27107,1974
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,29.65849,-84.880244,26880,1973
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,30.65631,-84.208912,25159,1968
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,32.222607,-110.974711,26515,1972
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,41.703318,-93.057353,26515,1972
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,41.586835,-93.624959,25904,1970
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,42.534899,-92.445316,28610,1978
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,40.52833,-104.62097,1900-01-01/1970-01-01,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,64.751111,-147.349444,34182,1993
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-33.123159,-64.349344,34243,1993
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,61.329319,-149.56805,29301,1980
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,64.037778,-145.732222,36216,1999
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,4.570868,-74.297333,29959,1982
